project_id,department,process_name,monthly_volume,avg_minutes,manual_share,data_availability,process_complexity,implementation_success,annual_hours,automation_potential,recoverable_hours,estimated_annual_benefit,feasibility_score
H0001,Operations,Customer onboarding,315,28.5,0.683,1,4,0,1795.5,0.4415,792.71,23781398.0,0.2
H0002,Procurement,Data consolidation,184,9.8,0.886,1,5,0,360.64,0.503,181.4,5442058.0,0.12
H0003,Procurement,Monthly reporting,224,18.9,0.809,4,1,1,846.72,0.8045,681.19,20435587.0,0.8
H0004,Operations,Data consolidation,328,13.0,0.879,5,1,1,852.8,0.8995,767.09,23012808.0,0.92
H0005,IT,Customer data entry,164,8.5,0.709,5,1,1,278.8,0.8145,227.08,6812478.0,0.92
H0006,Procurement,Document classification,321,15.2,0.658,4,3,0,975.84,0.649,633.32,18999605.0,0.64
H0007,Operations,Customer onboarding,568,14.8,0.392,2,4,0,1681.28,0.356,598.54,17956070.0,0.32
H0008,Human Resources,Customer data entry,289,24.2,0.469,4,3,0,1398.76,0.5545,775.61,23268373.0,0.64
H0009,Customer Service,Monthly reporting,331,14.8,0.799,1,2,0,979.76,0.5795,567.77,17033128.0,0.36
H0010,Finance,Ticket classification,243,15.3,0.785,4,5,0,743.58,0.6325,470.31,14109431.0,0.48
H0011,Human Resources,Contract review,426,33.9,0.586,1,3,0,2888.28,0.433,1250.63,37518757.0,0.28
H0012,Customer Service,Document classification,300,24.3,0.821,3,3,0,1458.0,0.6705,977.59,29327670.0,0.52
H0013,Sales,Data consolidation,274,25.9,0.693,1,5,1,1419.32,0.4065,576.95,17308607.0,0.12
H0014,Logistics,Customer onboarding,371,20.6,0.853,5,1,1,1528.52,0.8865,1355.03,40650989.0,0.92
H0015,Procurement,Payment reconciliation,538,23.4,0.433,4,5,1,2517.84,0.4565,1149.39,34481819.0,0.48
H0016,Operations,Data consolidation,191,11.7,0.957,1,4,0,446.94,0.5785,258.55,7756644.0,0.2
H0017,Customer Service,Ticket classification,759,14.0,0.505,2,5,1,2125.2,0.3725,791.64,23749110.0,0.24
H0018,Finance,Customer onboarding,960,20.2,0.621,3,1,0,3878.4,0.6505,2522.9,75686976.0,0.68
H0019,IT,Payment reconciliation,1079,24.1,0.554,2,5,1,5200.78,0.397,2064.71,61941290.0,0.24
H0020,Human Resources,Monthly reporting,584,17.4,0.579,2,3,0,2032.32,0.4895,994.82,29844619.0,0.4
H0021,Sales,Claims review,265,21.3,0.75,2,2,0,1128.9,0.615,694.27,20828205.0,0.48
H0022,Sales,Monthly reporting,919,27.5,0.245,3,3,1,5054.5,0.3825,1933.35,58000388.0,0.52
H0023,Procurement,Purchase order processing,606,26.6,0.874,3,2,0,3223.92,0.737,2376.03,71280871.0,0.6
H0024,Customer Service,Email request processing,219,31.9,0.802,3,5,0,1397.22,0.581,811.78,24353545.0,0.36
H0025,Procurement,Data consolidation,463,21.4,0.53,3,4,0,1981.64,0.485,961.1,28832862.0,0.44
H0026,IT,Inventory update,330,32.0,0.51,2,5,1,2112.0,0.375,792.0,23760000.0,0.24
H0027,Procurement,Data consolidation,309,10.3,0.761,5,1,0,636.54,0.8405,535.01,16050356.0,0.92
H0028,Procurement,Ticket classification,277,15.0,0.836,5,5,0,831.0,0.718,596.66,17899740.0,0.6
H0029,Logistics,Invoice validation,380,12.3,0.647,3,2,0,934.8,0.6235,582.85,17485434.0,0.6
H0030,IT,Ticket classification,323,15.7,0.61,4,3,0,1014.22,0.625,633.89,19016625.0,0.64
H0031,IT,Contract review,652,62.4,0.368,1,4,0,8136.96,0.284,2310.9,69326899.0,0.2
H0032,Finance,Data consolidation,805,14.3,0.894,4,5,0,2302.3,0.687,1581.68,47450403.0,0.48
H0033,Sales,Data consolidation,195,16.5,0.736,4,5,0,643.5,0.608,391.25,11737440.0,0.48
H0034,IT,Customer onboarding,206,15.3,0.789,4,3,0,630.36,0.7145,450.39,13511767.0,0.64
H0035,Procurement,Document classification,404,16.2,0.521,5,4,0,1308.96,0.6005,786.03,23580914.0,0.68
H0036,Logistics,Ticket classification,671,14.7,0.602,1,5,0,1972.74,0.361,712.16,21364774.0,0.12
H0037,Logistics,Purchase order processing,393,24.4,0.919,4,5,0,1917.84,0.6995,1341.53,40245872.0,0.48
H0038,Sales,Document classification,233,10.5,0.885,3,2,0,489.3,0.7425,363.31,10899158.0,0.6
