process_id,department,process_name,monthly_volume,avg_minutes,manual_share,data_availability,process_complexity,annual_hours,automation_potential,recoverable_hours,estimated_annual_benefit,feasibility_score,implementation_success,success_probability,normalized_estimated_annual_benefit,priority_score
P0026,Procurement,Email request processing,2161,42.5,0.813,5,3,18368.5,0.7865,14446.83,433404758.0,0.76,1,0.709,0.926,0.774
P0217,Sales,Ticket classification,2206,31.8,0.734,5,1,14030.16,0.827,11602.94,348088270.0,0.92,1,0.732,0.744,0.736
P0039,Finance,Inventory update,469,95.1,0.709,5,1,8920.38,0.8145,7265.65,217969485.0,0.92,1,0.732,0.465,0.652
P0086,Customer Service,Ticket classification,978,42.4,0.695,4,1,8293.44,0.7475,6199.35,185980392.0,0.8,1,0.732,0.397,0.632
P0182,IT,Customer data entry,430,58.1,0.779,5,2,4996.6,0.8095,4044.75,121342431.0,0.84,1,0.765,0.259,0.613
P0224,Sales,Customer onboarding,716,31.5,0.816,4,1,4510.8,0.808,3644.73,109341792.0,0.8,1,0.765,0.233,0.605
P0244,Finance,Data consolidation,743,34.3,0.641,5,1,5096.98,0.7805,3978.19,119345787.0,0.92,1,0.732,0.254,0.589
P0209,Procurement,Purchase order processing,498,51.5,0.671,5,2,5129.4,0.7555,3875.26,116257851.0,0.84,1,0.732,0.248,0.587
P0287,Finance,Account reconciliation,3062,39.4,0.693,5,5,24128.56,0.6465,15599.11,467973421.0,0.6,0,0.393,1.0,0.575
P0123,Operations,Invoice validation,291,34.5,0.86,5,1,2007.9,0.89,1787.03,53610930.0,0.92,1,0.765,0.114,0.57
P0050,Procurement,Monthly reporting,525,19.9,0.81,5,2,2089.5,0.825,1723.84,51715125.0,0.84,1,0.765,0.11,0.568
P0246,Procurement,Claims review,1171,11.7,0.885,5,2,2740.14,0.8625,2363.37,70901122.0,0.84,1,0.739,0.151,0.563
P0155,Human Resources,Invoice validation,771,60.9,0.464,5,1,9390.78,0.692,6498.42,194952593.0,0.92,1,0.621,0.416,0.56
P0034,Operations,Document classification,920,33.5,0.884,3,1,6164.0,0.782,4820.25,144607440.0,0.68,1,0.667,0.308,0.559
P0089,Sales,Document classification,516,35.3,0.762,4,2,3642.96,0.741,2699.43,80983001.0,0.72,1,0.709,0.172,0.548
P0257,IT,Account reconciliation,228,114.7,0.707,5,3,5230.32,0.7335,3836.44,115093192.0,0.76,1,0.676,0.245,0.547
P0149,Finance,Account reconciliation,1110,7.9,0.812,4,1,1753.8,0.806,1413.56,42406884.0,0.8,1,0.739,0.09,0.544
P0168,IT,Customer onboarding,266,32.5,0.609,5,1,1729.0,0.7645,1321.82,39654615.0,0.92,1,0.732,0.084,0.538
P0053,Customer Service,Compliance reporting,513,11.7,0.798,5,1,1200.42,0.859,1031.16,30934823.0,0.92,1,0.739,0.065,0.537
P0038,Finance,Customer data entry,349,24.1,0.684,4,1,1682.18,0.742,1248.18,37445327.0,0.8,1,0.732,0.079,0.536
P0058,Finance,Purchase order processing,836,25.0,0.713,5,3,4180.0,0.7365,3078.57,92357100.0,0.76,1,0.676,0.197,0.532
P0057,Logistics,Monthly reporting,193,20.6,0.722,5,1,795.16,0.821,652.83,19584791.0,0.92,1,0.732,0.041,0.525
P0112,IT,Document classification,344,25.5,0.842,5,3,1754.4,0.801,1405.27,42158232.0,0.76,1,0.709,0.089,0.523
P0007,Human Resources,Account reconciliation,446,18.3,0.975,4,2,1632.36,0.8475,1383.43,41502753.0,0.72,1,0.709,0.088,0.523
P0132,Human Resources,Data consolidation,1076,9.3,0.711,4,1,2001.36,0.7555,1512.03,45360824.0,0.8,1,0.706,0.096,0.523
P0043,Operations,Document classification,670,39.5,0.932,5,4,5293.0,0.806,4266.16,127984740.0,0.68,1,0.627,0.273,0.521
P0095,Procurement,Ticket classification,64,32.2,0.927,4,1,412.16,0.8635,355.9,10677005.0,0.8,1,0.731,0.022,0.518
P0178,Customer Service,Customer onboarding,58,27.8,0.942,4,1,322.48,0.871,280.88,8426402.0,0.8,1,0.731,0.017,0.517
P0025,Sales,Compliance reporting,346,42.2,0.694,5,3,2920.24,0.727,2123.01,63690434.0,0.76,1,0.676,0.135,0.514
P0294,Operations,Data consolidation,612,9.4,0.652,5,1,1150.56,0.786,904.34,27130205.0,0.92,1,0.706,0.057,0.511
P0205,Sales,Invoice validation,345,16.4,0.654,5,2,1131.6,0.747,845.31,25359156.0,0.84,1,0.706,0.053,0.51
P0188,IT,Inventory update,456,5.8,0.809,5,2,528.96,0.8245,436.13,13083826.0,0.84,1,0.705,0.027,0.502
P0278,Procurement,Monthly reporting,148,28.1,0.612,5,2,831.76,0.726,603.86,18115733.0,0.84,1,0.699,0.038,0.501
P0121,Logistics,Purchase order processing,103,34.2,0.701,5,1,704.52,0.8105,571.01,17130404.0,0.92,1,0.699,0.036,0.5
P0171,Logistics,Payment reconciliation,233,7.5,0.812,5,2,349.5,0.826,288.69,8660610.0,0.84,1,0.705,0.018,0.499
P0052,Procurement,Invoice validation,666,32.0,0.769,5,4,4262.4,0.7245,3088.11,92643264.0,0.68,1,0.627,0.197,0.498
P0059,Customer Service,Email request processing,1144,96.5,0.554,1,2,22079.2,0.457,10090.19,302705832.0,0.36,0,0.434,0.647,0.498
P0056,Sales,Contract review,124,24.9,0.639,4,1,617.52,0.7195,444.31,13329169.0,0.8,1,0.699,0.028,0.498
P0185,Finance,Inventory update,263,30.0,0.694,5,3,1578.0,0.727,1147.21,34416180.0,0.76,1,0.676,0.073,0.495
P0280,Operations,Inventory update,36,7.6,0.856,5,1,54.72,0.888,48.59,1457741.0,0.92,1,0.705,0.002,0.494
P0128,Finance,Claims review,441,46.5,0.914,3,2,4101.3,0.757,3104.68,93140523.0,0.6,1,0.62,0.198,0.493
P0193,Finance,Monthly reporting,136,48.6,0.755,4,2,1321.92,0.7375,974.92,29247480.0,0.72,1,0.676,0.062,0.492
P0164,Sales,Account reconciliation,830,87.5,0.729,5,5,14525.0,0.6645,9651.86,289555875.0,0.6,0,0.436,0.618,0.491
P0029,Logistics,Account reconciliation,280,25.3,0.954,3,1,1416.8,0.817,1157.53,34725768.0,0.68,1,0.667,0.073,0.489
P0233,Sales,Email request processing,141,43.7,0.764,3,1,1232.34,0.722,889.75,26692484.0,0.68,1,0.667,0.056,0.484
P0174,Sales,Account reconciliation,1048,10.9,0.901,3,1,2284.64,0.7905,1806.01,54180238.0,0.68,1,0.642,0.115,0.484
P0012,IT,Purchase order processing,118,22.7,0.883,4,2,535.72,0.8015,429.38,12881387.0,0.72,1,0.675,0.027,0.481
P0275,Finance,Ticket classification,696,19.9,0.903,5,4,2770.08,0.7915,2192.52,65775550.0,0.68,1,0.627,0.14,0.481
P0010,Operations,Purchase order processing,1443,2.1,0.619,5,1,606.06,0.7695,466.36,13990895.0,0.92,1,0.673,0.029,0.48
P0243,Sales,Email request processing,2207,42.8,0.673,1,3,18891.92,0.4765,9002.0,270059996.0,0.28,0,0.434,0.577,0.477
P0143,Sales,Data consolidation,46,27.9,0.934,5,3,256.68,0.847,217.41,6522239.0,0.76,1,0.675,0.013,0.476
P0195,IT,Claims review,600,25.4,0.534,4,1,3048.0,0.667,2033.02,60990480.0,0.8,1,0.621,0.13,0.474
P0096,Procurement,Document classification,1159,60.9,0.567,4,3,14116.62,0.6035,8519.38,255581405.0,0.64,0,0.434,0.546,0.468
P0256,Customer Service,Compliance reporting,272,14.8,0.769,4,2,805.12,0.7445,599.41,17982355.0,0.72,1,0.65,0.038,0.466
P0191,IT,Data consolidation,299,27.1,0.951,5,4,1620.58,0.8155,1321.58,39647490.0,0.68,1,0.627,0.084,0.464
P0253,Sales,Claims review,337,29.6,0.865,4,3,1995.04,0.7525,1501.27,45038028.0,0.64,1,0.62,0.095,0.462
P0124,IT,Invoice validation,111,38.7,0.75,4,2,859.14,0.735,631.47,18944037.0,0.72,1,0.643,0.04,0.462
P0274,Logistics,Purchase order processing,1206,18.0,0.457,5,2,4341.6,0.6485,2815.53,84465828.0,0.84,1,0.578,0.18,0.459
P0019,Logistics,Ticket classification,66,15.3,0.767,4,2,201.96,0.7435,150.16,4504718.0,0.72,1,0.65,0.009,0.458
P0276,Sales,Document classification,179,44.7,0.589,4,1,1600.26,0.6945,1111.38,33341417.0,0.8,1,0.621,0.07,0.456
P0098,Sales,Customer data entry,329,19.9,0.939,4,3,1309.42,0.7895,1033.79,31013613.0,0.64,1,0.62,0.065,0.454
P0080,Sales,Customer data entry,327,65.6,0.638,5,3,4290.24,0.699,2998.88,89966333.0,0.76,1,0.565,0.192,0.453
P0245,IT,Customer onboarding,232,27.2,0.491,5,2,1262.08,0.6655,839.91,25197427.0,0.84,1,0.621,0.053,0.451
P0091,Logistics,Invoice validation,831,24.1,0.397,4,1,4005.42,0.5985,2397.24,71917316.0,0.8,1,0.578,0.153,0.45
P0250,Customer Service,Invoice validation,115,45.4,0.933,2,1,1044.2,0.7465,779.5,23384859.0,0.56,1,0.62,0.049,0.449
P0028,Operations,Contract review,683,27.3,0.614,5,3,3729.18,0.687,2561.95,76858400.0,0.76,1,0.565,0.163,0.444
P0292,Customer Service,Inventory update,606,14.5,0.538,5,2,1757.4,0.689,1210.85,36325458.0,0.84,1,0.595,0.077,0.44
P0042,IT,Customer data entry,389,14.1,0.85,5,4,1096.98,0.765,839.19,25175691.0,0.68,1,0.601,0.053,0.437
P0208,Sales,Claims review,341,46.3,0.807,3,2,3157.66,0.7035,2221.41,66642414.0,0.6,1,0.562,0.142,0.436
P0137,Finance,Claims review,418,27.4,0.749,3,1,2290.64,0.7145,1636.66,49099868.0,0.68,1,0.577,0.104,0.435
P0300,Logistics,Invoice validation,354,113.3,0.898,4,5,8021.64,0.689,5526.91,165807299.0,0.48,0,0.468,0.354,0.434
P0204,Finance,Ticket classification,283,2.9,0.498,5,1,164.14,0.709,116.38,3491258.0,0.92,1,0.615,0.007,0.433
P0290,Logistics,Inventory update,238,51.2,0.313,5,2,2437.12,0.5765,1405.0,42149990.0,0.84,1,0.578,0.089,0.431
P0021,Procurement,Document classification,1135,57.4,0.653,1,2,13029.8,0.5065,6599.59,197987811.0,0.36,0,0.434,0.423,0.431
P0175,Logistics,Invoice validation,671,51.9,0.726,3,2,6964.98,0.663,4617.78,138533452.0,0.6,0,0.477,0.295,0.422
P0017,Sales,Email request processing,117,31.8,0.878,3,2,744.12,0.739,549.9,16497140.0,0.6,1,0.587,0.034,0.421
P0004,IT,Data consolidation,90,33.5,0.947,4,3,603.0,0.7935,478.48,14354415.0,0.64,1,0.587,0.03,0.42
P0020,Customer Service,Payment reconciliation,116,29.7,0.925,3,3,689.04,0.7225,497.83,14934942.0,0.52,1,0.587,0.031,0.42
P0154,Customer Service,Invoice validation,506,47.5,0.448,4,2,4807.0,0.584,2807.29,84218640.0,0.72,1,0.523,0.179,0.42
P0134,Human Resources,Claims review,297,29.9,0.643,4,2,1776.06,0.6815,1210.38,36311547.0,0.72,1,0.565,0.077,0.419
P0291,Finance,Payment reconciliation,204,17.5,0.686,4,2,714.0,0.703,501.94,15058260.0,0.72,1,0.585,0.031,0.419
P0186,Human Resources,Email request processing,87,29.6,0.952,2,1,515.04,0.756,389.37,11681107.0,0.56,1,0.587,0.024,0.418
P0150,Logistics,Customer onboarding,424,19.8,0.608,4,2,1679.04,0.664,1114.88,33446477.0,0.72,1,0.565,0.071,0.417
P0215,Customer Service,Monthly reporting,213,23.6,0.487,4,1,1005.36,0.6435,646.95,19408475.0,0.8,1,0.578,0.041,0.417
P0284,IT,Ticket classification,625,26.8,0.832,5,5,3350.0,0.716,2398.6,71958000.0,0.6,1,0.522,0.153,0.411
P0133,Finance,Claims review,578,50.6,0.712,4,3,5849.36,0.676,3954.17,118625021.0,0.64,0,0.477,0.253,0.41
P0008,Human Resources,Inventory update,1237,41.8,0.869,1,4,10341.32,0.5345,5527.44,165823066.0,0.2,0,0.426,0.354,0.404
P0031,Human Resources,Claims review,554,25.5,0.709,3,1,2825.4,0.6945,1962.24,58867209.0,0.68,1,0.524,0.125,0.404
P0141,Logistics,Monthly reporting,411,13.0,0.87,5,5,1068.6,0.735,785.42,23562630.0,0.6,1,0.553,0.05,0.402
P0296,Sales,Email request processing,2314,22.6,0.666,4,4,10459.28,0.613,6411.54,192346159.0,0.56,0,0.393,0.41,0.398
P0169,IT,Invoice validation,1087,45.3,0.715,1,3,9848.22,0.4975,4899.49,146984684.0,0.28,0,0.434,0.313,0.398
P0097,Operations,Data consolidation,259,59.3,0.934,1,1,3071.74,0.687,2110.29,63308561.0,0.44,1,0.509,0.135,0.397
P0006,Logistics,Payment reconciliation,909,44.0,0.635,2,1,7999.2,0.5975,4779.52,143385660.0,0.56,0,0.434,0.306,0.396
P0166,Finance,Payment reconciliation,377,17.0,0.856,2,1,1281.8,0.708,907.51,27225432.0,0.56,1,0.537,0.057,0.393
P0041,Customer Service,Email request processing,223,44.9,0.578,4,2,2002.54,0.649,1299.65,38989454.0,0.72,1,0.523,0.082,0.391
P0117,Finance,Payment reconciliation,862,41.4,0.75,1,1,7137.36,0.595,4246.73,127401876.0,0.44,0,0.434,0.272,0.385
P0129,Sales,Purchase order processing,521,21.1,0.763,3,2,2198.62,0.6815,1498.36,44950786.0,0.6,1,0.509,0.095,0.385
P0033,Sales,Customer data entry,72,66.2,0.567,5,3,953.28,0.6635,632.5,18975038.0,0.76,1,0.532,0.04,0.384
P0048,IT,Ticket classification,1055,20.0,0.865,4,5,4220.0,0.6725,2837.95,85138500.0,0.48,0,0.468,0.181,0.382
P0165,Operations,Contract review,750,41.6,0.693,3,2,6240.0,0.6465,4034.16,121024800.0,0.6,0,0.434,0.258,0.381
P0254,Human Resources,Email request processing,365,80.6,0.745,2,1,5883.8,0.6525,3839.18,115175385.0,0.56,0,0.434,0.245,0.377
P0024,Logistics,Claims review,227,15.9,0.894,5,5,721.86,0.747,539.23,16176883.0,0.6,1,0.52,0.034,0.374
P0192,Customer Service,Ticket classification,310,16.4,0.182,5,2,1016.8,0.511,519.58,15587544.0,0.84,1,0.519,0.032,0.373
P0018,Logistics,Claims review,303,49.7,0.709,4,3,3011.82,0.6745,2031.47,60944178.0,0.64,0,0.477,0.129,0.373
P0187,Operations,Claims review,328,38.7,0.719,5,4,2538.72,0.6995,1775.83,53275039.0,0.68,0,0.483,0.113,0.372
P0160,Sales,Data consolidation,1699,16.8,0.866,1,3,5708.64,0.573,3271.05,98131522.0,0.28,0,0.441,0.209,0.371
P0035,Procurement,Account reconciliation,201,26.8,0.861,3,3,1077.36,0.6905,743.92,22317512.0,0.52,1,0.509,0.047,0.37
P0248,Finance,Inventory update,193,28.8,0.955,1,2,1111.68,0.6575,730.93,21927888.0,0.36,1,0.509,0.046,0.37
P0120,Human Resources,Ticket classification,721,38.6,0.864,3,4,5566.12,0.652,3629.11,108873307.0,0.44,0,0.426,0.232,0.368
P0153,Finance,Customer data entry,110,13.2,0.895,5,5,290.4,0.7475,217.07,6512220.0,0.6,1,0.52,0.013,0.368
P0088,Finance,Ticket classification,388,79.6,0.554,3,3,6176.96,0.537,3317.03,99510826.0,0.52,0,0.434,0.212,0.367
P0014,Customer Service,Ticket classification,1476,24.0,0.892,1,5,7084.8,0.506,3584.91,107547264.0,0.12,0,0.426,0.229,0.367
P0140,Finance,Compliance reporting,308,49.0,0.851,4,5,3018.4,0.6655,2008.75,60262356.0,0.48,0,0.468,0.128,0.366
P0190,Procurement,Ticket classification,104,6.8,0.889,4,4,141.44,0.7245,102.47,3074198.0,0.56,1,0.52,0.006,0.366
P0240,Logistics,Customer data entry,557,23.0,0.69,4,3,2562.2,0.665,1703.86,51115890.0,0.64,0,0.477,0.108,0.366
P0279,Finance,Account reconciliation,413,38.4,0.863,2,3,3171.84,0.6315,2003.02,60090509.0,0.4,0,0.467,0.128,0.365
P0223,Procurement,Document classification,337,49.8,0.811,1,2,3356.52,0.5855,1965.24,58957274.0,0.36,0,0.467,0.125,0.364
P0189,IT,Customer data entry,810,37.2,0.571,1,1,6026.4,0.5055,3046.35,91390356.0,0.44,0,0.434,0.195,0.362
P0238,Procurement,Email request processing,684,22.0,0.921,1,3,3009.6,0.6005,1807.26,54217944.0,0.28,0,0.467,0.115,0.361
P0199,Human Resources,Compliance reporting,231,15.4,0.858,2,1,711.48,0.709,504.44,15133180.0,0.56,1,0.503,0.031,0.361
P0147,Customer Service,Invoice validation,406,11.6,0.703,3,1,941.92,0.6915,651.34,19540130.0,0.68,0,0.498,0.041,0.361
P0183,Procurement,Monthly reporting,326,16.9,0.52,5,3,1101.88,0.64,705.2,21156096.0,0.76,0,0.497,0.044,0.361
P0229,Finance,Data consolidation,172,13.5,0.599,5,3,464.4,0.6795,315.56,9466794.0,0.76,1,0.506,0.019,0.36
P0045,Sales,Document classification,200,50.3,0.752,3,2,2012.0,0.676,1360.11,40803360.0,0.6,0,0.477,0.086,0.36
P0075,Human Resources,Payment reconciliation,866,26.5,0.724,2,1,4589.8,0.642,2946.65,88399548.0,0.56,0,0.434,0.188,0.36
P0037,Sales,Document classification,572,25.6,0.762,2,3,2928.64,0.581,1701.54,51046195.0,0.4,0,0.467,0.108,0.359
P0148,Customer Service,Payment reconciliation,420,3.3,0.603,5,3,277.2,0.6815,188.91,5667354.0,0.76,1,0.506,0.011,0.358
P0113,Logistics,Invoice validation,2039,17.3,0.596,2,2,7054.94,0.538,3795.56,113866732.0,0.48,0,0.408,0.243,0.358
P0266,Operations,Purchase order processing,308,73.9,0.683,3,3,4552.24,0.6015,2738.17,82145171.0,0.52,0,0.434,0.175,0.356
P0273,Logistics,Customer data entry,1693,28.1,0.596,2,5,9514.66,0.418,3977.13,119313836.0,0.24,0,0.393,0.254,0.351
P0071,Operations,Invoice validation,1525,24.1,0.508,4,4,7350.5,0.534,3925.17,117755010.0,0.56,0,0.393,0.251,0.35
P0197,Operations,Monthly reporting,1709,17.0,0.671,2,2,5810.6,0.5755,3344.0,100320009.0,0.48,0,0.408,0.214,0.35
P0064,Finance,Account reconciliation,695,25.9,0.665,4,3,3600.1,0.6525,2349.07,70471958.0,0.64,0,0.434,0.15,0.349
P0032,Finance,Customer onboarding,365,99.7,0.741,2,4,7278.1,0.5305,3861.03,115830962.0,0.32,0,0.393,0.247,0.349
P0180,Customer Service,Purchase order processing,960,36.3,0.665,3,4,6969.6,0.5525,3850.7,115521120.0,0.44,0,0.393,0.246,0.349
P0022,Human Resources,Monthly reporting,952,29.7,0.528,1,3,5654.88,0.404,2284.57,68537146.0,0.28,0,0.434,0.146,0.348
P0289,Finance,Purchase order processing,293,28.9,0.88,2,3,1693.54,0.64,1083.87,32515968.0,0.4,0,0.467,0.069,0.348
